N,T2,S1,S1,RU,S1,S1,S1,S1,RU,PL,PH,P3,PH,PR,S1,S1,S1,S1,T1
N,S2,N,TR,S2,TR,N,N,TR,S2,WL,W1,PV,W1,WR,N,N,N,N,S2
N,SU,N,N,S2,N,N,N,N,S2,WL,WI,PV,WI,WR,N,N,C1,N,S2
N,E1,N,N,S2,TR,N,N,TR,S2,WL,W1,PV,W1,WR,N,N,SD,N,S2
N,N,N,N,RL,S1,S1,S1,S1,RD,PL,PH,PA,PH,PR,S1,S1,RA,S1,RR
N,N,N,N,S2,TR,N,N,N,TR,WL,W1,PV,W1,WR,N,N,S2,N,S2
N,N,N,N,S2,TR,N,N,W3,WU,W8,WI,PV,W1,WR,N,N,S2,N,S2
N,E1,N,N,RL,S1,S1,S1,PL,PH,P3,PH,P4,PH,PR,S1,S1,T4,N,SU
N,SD,N,TR,S2,N,N,N,WL,W7,PD,W9,WI,W1,WR,N,N,N,N,C1
N,T3,S1,S1,T4,N,N,N,WL,WR,E1,WL,W1,W1,WR,N,N,N,N,N
