N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N,N,N,N,N,T2,S1,S1,S1,S1,SL,C1
N,N,N,N,N,N,N,N,N,N,N,N,N,S2,N,N,N,N,N,N,N,N,N
E1,SR,S1,S1,S1,S1,S1,S1,S1,RU,S1,S1,S1,T4,N,N,N,N,N,N
N,N,N,N,N,N,N,N,N,S2,W3,WU,WU,WU,WU,WU,W2,N,N,N
WU,WU,WU,WU,WU,WU,WU,WU,W2,S2,WL,WI,W1,WI,W1,WI,WR,N,N,N
W1,W1,W1,WI,W1,W1,W1,WI,WR,S2,W5,WD,WD,WD,WD,WD,W4,N,N,N
W1,W1,W1,W1,W1,W1,W1,W1,WR,T3,S1,S1,S1,S1,S1,S1,SL,E1,N,N
W1,W1,W1,W1,W1,W1,W1,W1,W6,WU,WU,WU,WU,WU,WU,WU,WU,WU,WU,WU
W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1,W1
